index,clase,DEM,ENTIDAD,year,FUENTE_INF,LATITUD,LONGITUD,LAT,LON,LITOLOGIA,MUNICIPIO,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,SWIR,TIPO,slope
1_00000000000000000003,1,1197,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 50 7.985,-97 5 27.216,18.835546,-97.090893,Lahar,Orizaba,0.1954758020,0.3917439580,0.545513928,-0.526707351,2038,0.05880250,0.06556750,0.09874625,0.09403000,0.32933375,0.13937750,0.21602000,Flujo,9.3608325
1_00000000000000000004,1,953,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 52 58.170,-96 58 34.680,18.882825,-96.9763,Lahar,Crdoba,0.0430081150,0.1756121960,0.403887391,-0.392663687,2041,0.07629250,0.08371750,0.12213500,0.12056750,0.29343250,0.19759500,0.27399000,Flujo,6.750570681
1_00000000000000000005,1,1185,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 59 22.393,-96 55 32.446,18.990109,-96.92568,Caliza-Doloma,Crdoba,0.2697898750,0.5449481010,0.740322709,-0.683142662,2266,0.02937750,0.02684750,0.05228500,0.04202750,0.28320250,0.08374500,0.15810500,Flujo,24.87063818
1_0000000000000000000c,1,1364,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 7 44.805,-97 0 30.269,19.129113,-97.008408,Caliza-Doloma,Huatusco,0.3175329860,0.5950738190,0.789362848,-0.740973353,1993,0.02294250,0.02349250,0.04895750,0.03460250,0.32893500,0.08657750,0.17677750,Flujo,16.89559107
1_0000000000000000000d,1,1392,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 7 46.905,-97 0 47.077,19.129696,-97.013077,Caliza-Doloma,Huatusco,0.2640785280,0.5295824410,0.716434360,-0.659690917,2025,0.03020250,0.03681625,0.06890875,0.05720750,0.34961500,0.10933375,0.20174750,Flujo,9.970064756
1_0000000000000000000e,1,1760,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 0 4.745,-97 5 48.249,19.001318,-97.096736,Lahar,Coscomatepec,0.2462807600,0.4831388590,0.653764069,-0.621802092,1744,0.03336500,0.03424500,0.05569500,0.04587750,0.23859750,0.07533000,0.14383250,Flujo,24.69935142
1_00000000000000000012,1,1536,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 21 3.120,-97 3 24.852,19.350867,-97.056903,Toba andestica,Ixhuacn de los Reyes,0.3995278480,0.6919276710,0.850140154,-0.770982563,2042,0.02147125,0.02031625,0.04288000,0.02644875,0.33125875,0.06474250,0.16275250,Flujo,39.86740103
1_00000000000000000014,1,1578,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 11 39.460,-97 2 57.883,19.194294,-97.049412,Caliza-Doloma,Huatusco,0.3385992050,0.6374112960,0.794002175,-0.712474108,2102,0.00806500,0.00814750,0.02261250,0.01587500,0.12752500,0.03394250,0.06301000,Flujo,37.05369897
1_00000000000000000254,1,1934,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 51 10.143,-97 15 36.674,18.852818,-97.260187,Lahar,Maltrata,0.0461398470,0.2025778440,0.401839525,-0.418753713,944,0.04096875,0.04677125,0.06830375,0.07016000,0.15921875,0.10712000,0.14691250,Flujo,29.52572252
1_00000000000000000256,1,2161,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 47 23.515,-97 19 25.047,18.789865,-97.323624,Caliza-Lutita,Aquila,0.0867025780,0.2865313890,0.517337620,-0.511786580,623,0.04668875,0.06020500,0.09847125,0.10123500,0.30748500,0.17288625,0.27183125,Flujo,42.42840364
1_00000000000000000257,1,2229,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 47 29.474,-97 19 21.825,18.791521,-97.322729,Caliza-Lutita,Aquila,0.1770874260,0.3923750220,0.606750488,-0.574475706,663,0.03688500,0.04524500,0.08325000,0.07511000,0.30017000,0.13002750,0.21313250,Flujo,46.0139901
1_00000000000000000258,1,1532,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 49 19.156,-97 11 12.085,18.822099,-97.18669,Caliza-Doloma,Nogales,0.1598506420,0.3673771020,0.499573827,-0.535787046,1273,0.04202750,0.04653750,0.07033875,0.07824500,0.22659375,0.10945750,0.16844500,Flujo,18.14891701
1_0000000000000000025b,1,1774,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 49 48.887,-97 11 38.535,18.830246,-97.193982,Caliza-Doloma,Nogales,0.2744082210,0.5350386500,0.685227871,-0.669661105,1069,0.03061500,0.03313125,0.05595625,0.05334375,0.29403750,0.08906625,0.16753750,Flujo,16.35067632
